name,tool_id,category,subcategory,description,link,github_url,offering,open_source,self_hostable,pricing,maturity,released_at,updated_at,score,rank_in_subcategory
Arc Kit,arc-kit,Diagramming & Architecture,Various,Toolkit for Enterprise Architecture Governance and Vendor Procurement processes,,https://github.com/tractorjuice/arc-kit,oss-library,true,true,free,,2025-10-14,2026-07-24,2099,1
Structurizr,structurizr,Diagramming & Architecture,Java,Models-as-code tool for creating software architecture diagrams using the C4 model,,https://github.com/structurizr/structurizr,oss-library,true,true,free,,2025-11-30,2026-06-29,302,1
Structurizr MCP,structurizr-mcp,Diagramming & Architecture,Java,Java-based models-as-code tool for creating C4 software architecture diagrams,,https://github.com/structurizr/structurizr/tree/master/structitizr-mcp,oss-library,true,true,free,,2025-11-30,2026-06-29,302,2
LikeC4,likec4,Diagramming & Architecture,TypeScript,"Visualize, collaborate, and evolve software architecture with live diagrams from code",,https://github.com/likec4/likec4,oss-library,true,true,free,,2023-03-24,2026-07-25,5099,2
drawio-skill,drawio-skill,Diagramming & Architecture,JavaScript,Reusable draw.io skills for AI agents enabling automated diagramming.,,https://github.com/chopratejas/drawio-skill,oss-library,true,true,free,,,,0,3
Milvus,milvus,Databases & Vector Stores,Go,"High-performance, cloud-native vector database for scalable ANN search",https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,hybrid,false,false,freemium,,2019-09-16,2026-07-25,45373,1
ZVec,zvec,Databases & Vector Stores,Rust,"A lightweight, lightning-fast, in-process vector database for semantic search",,https://github.com/alibaba/zvec,oss-library,true,true,free,,2025-12-05,2026-07-24,15262,2
HelixDB,helixdb,Databases & Vector Stores,Rust,An open-source graph-vector database built from scratch in Rust,,https://github.com/HelixDB/helix-db,oss-library,true,true,free,,2024-11-23,2026-07-17,5673,4
TurboVec,turbovec,Databases & Vector Stores,Rust,"A vector index built on TurboQuant, written in Rust with Python bindings.",,https://github.com/RyanCodrai/turbovec,oss-library,true,true,free,,2026-03-26,2026-07-24,14134,3
meilisearch,meilisearch,Databases & Vector Stores,Rust,"Lightning-fast, ultra-relevant, and typo-tolerant open-source search engine.",,https://github.com/meilisearch/meilisearch,oss-library,true,true,free,,2018-04-23,2026-07-24,58722,1
convex-backend,convex-backend,Databases & Vector Stores,TypeScript,The open-source reactive database for app developers,,https://github.com/get-convex/convex-backend,oss-library,true,true,free,,2024-03-08,2026-07-25,12246,1
baml,baml,Developer Tools & CLI,BAML,Domain-specific language for LLM functions with type safety and structured output,,https://github.com/BoundaryML/baml,oss-library,true,true,free,,2023-10-06,2026-07-25,8603,1
ccusage,ccusage,Developer Tools & CLI,TypeScript,Fast local CLI tool for tracking token usage and costs across AI coding agents,https://ccusage.com/,,hybrid,false,false,freemium,,,,0,1
Claudoscope,claudoscope,Developer Tools & CLI,Swift,Native macOS session viewer and cost analytics for Claude Code,https://claudoscope.com,,hybrid,false,false,freemium,,,,0,2
cmux,cmux,Developer Tools & CLI,Swift,Native macOS terminal optimized for managing multiple AI coding agent workspaces,,https://github.com/manaflow-ai/cmux,oss-library,true,true,free,,2026-01-28,2026-07-25,25104,1
honker.dev,honker-dev,Developer Tools & CLI,C,SQLite extension adding Postgres-style NOTIFY/LISTEN for event streams,https://honker.dev/,,hybrid,false,false,freemium,,,,0,1
jamshid,jamshid,Developer Tools & CLI,Go,CLI tool for managing multiple Claude Code configuration profiles,,https://github.com/PapaDanielVi/jamshid,oss-library,true,true,free,,2026-05-19,2026-07-17,5,6
SafePrompt,safeprompt,Developer Tools & CLI,Various,Security-focused tool to mitigate prompt injection and ensure prompt hygiene,,https://github.com/MarijaStavric24/SafePrompt,oss-library,true,true,free,,2026-05-18,2026-06-13,14,1
SmolVM,smolvm,Developer Tools & CLI,Rust,"Tool to build and run portable, lightweight, self-contained VMs in Rust",,https://github.com/smol-machines/smolvm,oss-library,true,true,free,,2025-12-18,2026-07-25,4479,5
AWS Quick,aws-quick,Developer Tools & CLI,SaaS,Quick-start portal for launching and managing AWS resources,https://aws.amazon.com/quick/,,saas,false,false,freemium,,,,0,1
Atch,atch,Developer Tools & CLI,Rust,Lets you attach and detach terminal sessions for better session management,,https://github.com/mobydeck/atch,oss-library,true,true,free,,2026-03-01,2026-03-20,317,8
Television,television,Developer Tools & CLI,Rust,"A very fast, portable, and hackable fuzzy finder for the terminal",,https://github.com/alexpasmantier/television,oss-library,true,true,free,,2024-09-15,2026-07-24,6118,4
CLI Printing Press,cli-printing-press,Developer Tools & CLI,Go,"GOAT CLI tool for AI agents with SQLite sync, offline search, and compound insight",,https://github.com/mvanhorn/cli-printing-press,oss-library,true,true,free,,2026-03-23,2026-07-23,4251,3
RTK,rtk,Developer Tools & CLI,Rust,CLI proxy that cuts LLM token use by 60-90% on dev commands with a single Rust binary,,https://github.com/rtk-ai/rtk,oss-library,true,true,free,,2026-01-22,2026-07-24,73159,1
lean-ctx,lean-ctx,Developer Tools & CLI,Rust,Context runtime for AI agents that reduces token waste by 60-95% via shell hook + MCP server,,https://github.com/yvgude/lean-ctx,oss-library,true,true,free,,2026-03-23,2026-07-24,3394,6
rmux,rmux,Developer Tools & CLI,Rust,Universal Rust multiplexer with typed SDK for driving any CLI or TUI app from code,,https://github.com/helvesec/rmux,oss-library,true,true,free,,2026-05-15,2026-07-25,2488,7
iii,iii,Developer Tools & CLI,Rust,"Compose, extend, and observe every service in real-time",,https://github.com/iii-hq/iii,oss-library,true,true,free,,2025-01-02,2026-07-24,18503,2
Infracost,infracost,Developer Tools & CLI,Go,"Cloud cost intelligence for engineers, AI coding agents, and CI/CD — shift FinOps left",,https://github.com/infracost/infracost,oss-library,true,true,free,,2020-06-24,2026-07-24,12413,1
Microsoft FinOps Toolkit,microsoft-finops-toolkit,Developer Tools & CLI,PowerShell,Tools and resources to adopt and implement FinOps capabilities across the Microsoft Cloud,,https://github.com/microsoft/finops-toolkit,oss-library,true,true,free,,2023-01-12,2026-07-22,586,1
MarkItDown,markitdown,Developer Tools & CLI,Python,Python tool for converting files and office documents to Markdown,,https://github.com/microsoft/markitdown,oss-library,true,true,free,,2024-11-13,2026-07-23,168872,1
gogcli,gogcli,Developer Tools & CLI,Go,"Google Workspace in your terminal — CLI for Gmail, Calendar, Drive, and more",,https://github.com/openclaw/gogcli,oss-library,true,true,free,,2025-12-12,2026-07-23,8206,2
wacli,wacli,Developer Tools & CLI,Go,"WhatsApp CLI: sync, search, send messages from the terminal",,https://github.com/openclaw/wacli,oss-library,true,true,free,,2025-12-12,2026-07-23,2658,4
SlaCrawl,slacrawl,Developer Tools & CLI,Go,CLI terminal app for Slack with SQLite backend,,https://github.com/steipete/slacrawl,oss-library,true,true,free,,2026-04-27,2026-05-22,13,5
github.gg,github-gg,Developer Tools & CLI,SaaS,GitHub tooling and developer utilities platform,https://www.github.gg/,,saas,false,false,freemium,,,,0,2
ponytail,ponytail,Developer Tools & CLI,JavaScript,"""The lazy senior dev"" agent ruleset; designed to write 80-94% less code.",,https://github.com/chopratejas/ponytail,oss-library,true,true,free,,,,0,1
opik,opik,Developer Tools & CLI,Python,"Debug, evaluate, and monitor LLM applications, RAG systems, and agentic workflows.",https://github.com/comet-ml/opik,https://github.com/comet-ml/opik,hybrid,false,false,freemium,,2023-05-10,2026-07-24,20834,2
ccglass,ccglass,Developer Tools & CLI,Node,"Local observability tool for AI agents (Claude Code, Codex, Kimi) to inspect prompts and tool calls.",https://github.com/jianshuo/ccglass,https://github.com/jianshuo/ccglass,hybrid,false,false,freemium,,2026-05-22,2026-07-09,635,1
mattpocock/skills,mattpocock-skills,Developer Tools & CLI,Shell,Engineering-first agent skills designed for real software development workflows.,,https://github.com/mattpocock/skills,oss-library,true,true,free,,2026-02-03,2026-07-23,187321,1
ast-grep,ast-grep,Developer Tools & CLI,Rust,"CLI tool for structural search, lint, and rewrite based on AST.",https://github.com/ast-grep/ast-grep,https://github.com/ast-grep/ast-grep,hybrid,false,false,freemium,,2022-07-01,2026-07-24,15188,3
ntfy.sh,ntfy-sh,Developer Tools & CLI,Go,Send push notifications to your phone or desktop via PUT/POST.,https://ntfy.sh/,,hybrid,false,false,freemium,,,,0,7
langfuse,langfuse,Developer Tools & CLI,TypeScript/Python,"Open-source LLM engineering platform for observability, evaluation, and prompt management.",,https://github.com/langfuse/langfuse,oss-library,true,true,free,,2023-05-18,2026-07-25,31818,1
testcontainers,testcontainers,Developer Tools & CLI,Java,Library for providing throwaway docker containers for integration testing.,https://testcontainers.com/,,hybrid,false,false,freemium,,,,0,1
k3d,k3d,Developer Tools & CLI,Go,Lightweight CLI wrapper to run k3s (minimal Kubernetes distribution) inside Docker containers.,https://k3d.io/,,hybrid,false,false,freemium,,,,0,8
Anthropic Financial Services,anthropic-financial-services,Finance & Trading,Python,Anthropic financial services reference implementation using Claude,,https://github.com/anthropics/financial-services,oss-library,true,true,free,,2026-02-23,2026-07-22,33769,2
Microsoft QLib,microsoft-qlib,Finance & Trading,Python,"AI-driven quant investment platform for research, modeling, and automated R&D",,https://github.com/microsoft/qlib,oss-library,true,true,free,,2020-08-14,2026-07-23,46625,1
AI4Trade,ai4trade,Finance & Trading,SaaS,AI-powered platform offering advanced tools for trading and market analysis,https://ai4trade.ai/,,saas,false,false,freemium,,,,0,1
Corgi Insure,corgi-insure,Finance & Trading,SaaS,Insurance products and services platform,https://www.corgi.insure/,,saas,false,false,freemium,,,,0,2
Awesome Legal Skills,awesome-legal-skills,Legal & Compliance,Python,Curated list of portable Agent Skills for automating legal workflows,,https://github.com/lawve-ai/awesome-legal-skills,oss-library,true,true,free,,2025-12-18,2026-06-22,596,2
Claude for Legal,claude-for-legal,Legal & Compliance,Python,"Reference agents, skills, and data connectors for legal practice areas",,https://github.com/anthropics/claude-for-legal,oss-library,true,true,free,,2026-04-21,2026-07-23,8879,1
Mike,mike,Legal & Compliance,TypeScript,Open-source AI legal platform and document assistant,,https://github.com/willchen96/mike,oss-library,true,true,free,,2026-04-29,2026-07-23,4011,1
MikeRust,mikerust,Legal & Compliance,Rust,Sovereign local AI document assistant (local-first MikeOSS port),https://github.com/SemplificaAI/MikeRust,https://github.com/SemplificaAI/MikeRust,hybrid,false,false,freemium,,2026-05-08,2026-06-16,30,1
mikelocal,mikelocal,Legal & Compliance,TypeScript,Desktop edition of the Mike AI legal platform for offline use,,https://github.com/rafal-fryc/mikelocal,oss-library,true,true,free,,2026-05-01,2026-05-11,33,2
Prompt API,prompt-api,LLM APIs & Routing,Spec,Proposal for a web API enabling prompting of browser-provided language models,,https://github.com/webmachinelearning/prompt-api,oss-library,true,true,free,,2024-07-01,2026-06-22,764,1
Manifest,manifest,LLM APIs & Routing,TypeScript,Smart model routing for AI agents to cut costs up to 70%,,https://github.com/mnfst/manifest,oss-library,true,true,free,,2022-09-27,2026-07-24,7308,2
FreeLLMAPI,freellmapi,LLM APIs & Routing,Python,OpenAI-compatible proxy aggregating free-tier AI keys from ~14 providers,,https://github.com/tashfeenahmed/freellmapi,oss-library,true,true,free,,2026-04-21,2026-07-20,16928,2
Awesome Free LLM APIs,awesome-free-llm-apis,LLM APIs & Routing,Markdown,Curated list of permanent free LLM APIs with available API keys,,https://github.com/mnfst/awesome-free-llm-apis,oss-library,true,true,free,,2026-03-21,2026-06-16,5993,2
Free LLM API Resources,free-llm-api-resources,LLM APIs & Routing,Markdown,Curated list of free LLM inference APIs for easy access,,https://github.com/cheahjs/free-llm-api-resources,oss-library,true,true,free,,2024-07-04,2026-07-24,28158,1
9Router,9router,LLM APIs & Routing,Python,"Unlimited free AI coding with multi-provider LLM routing, auto-fallback, and token saving",,https://github.com/decolua/9router,oss-library,true,true,free,,2026-01-05,2026-07-20,23476,1
No-Cost-AI,no-cost-ai,LLM APIs & Routing,Markdown,"Curated directory of 80+ free AI services for chat, image, video, voice, and APIs",,https://github.com/zebbern/no-cost-ai,oss-library,true,true,free,,2025-07-15,2026-07-05,1979,3
token-optimizer,token-optimizer,LLM APIs & Routing,Python,Finds and fixes ghost tokens to survive compaction and avoid context quality decay,,https://github.com/alexgreensh/token-optimizer,oss-library,true,true,free,,2026-02-26,2026-07-24,1725,6
OptiLLM,optillm,LLM APIs & Routing,Python,Optimizing inference proxy for LLMs,,https://github.com/algorithmicsuperintelligence/optillm,oss-library,true,true,free,,2024-08-22,2026-07-18,4211,5
SkillOpt,skillopt,LLM APIs & Routing,Python,Text-space optimizer that trains reusable natural-language skills for frozen LLM agents,,https://github.com/microsoft/SkillOpt,oss-library,true,true,free,,2026-05-08,2026-07-24,14946,3
context-mode,context-mode,LLM APIs & Routing,TypeScript,Context window optimization for AI coding agents — sandboxes tool output with 98% reduction,,https://github.com/mksglu/context-mode,oss-library,true,true,free,,2026-02-23,2026-07-24,19314,1
LLMLingua,llmlingua,LLM APIs & Routing,Python,Prompt compression library that reduces LLM token usage by up to 20x with minimal performance loss,,https://github.com/microsoft/LLMLingua,oss-library,true,true,free,,2023-07-07,2026-04-08,6483,4
GOModel,gomodel,LLM APIs & Routing,Go,AI gateway written in Go. Lightweight unified OpenAI-compatible API for multiple providers.,,https://github.com/ENTERPILOT/GOModel,oss-library,true,true,free,,2025-12-05,2026-07-24,1018,1
EventMesh,eventmesh,Infrastructure & Eventing,Java,A dynamic event mesh that supports connecting multiple event stores.,https://github.com/apache/eventmesh,https://github.com/apache/eventmesh,hybrid,false,false,freemium,,2019-09-16,2026-07-17,1743,2
RocketMQ,rocketmq,Infrastructure & Eventing,Java,"Distributed messaging and streaming platform for low-latency, high-reliability.",,https://github.com/apache/rocketmq,oss-library,true,true,free,,2016-11-30,2026-07-25,22524,1
Pushover,pushover,Infrastructure & Eventing,SaaS,"Simple push notification service for Android, iPhone, iPad, and Desktop. Provides an HTTP API for developers to integrate real-time notifications into web apps, network monitors, and shell scripts.",https://pushover.net/,,saas,false,false,freemium,,,,0,1
mcp-manager,mcp-manager,Model Context Protocol (MCP),Various,Desktop application to manage and monitor local MCP servers.,,https://github.com/shafiq-al-shaar/mcp-manager,oss-library,true,true,free,,,,0,1
mcp-router,mcp-router,Model Context Protocol (MCP),Python,Intelligent router for distributing requests across multiple MCP servers.,,https://github.com/shikun-ni/mcp-router,oss-library,true,true,free,,,,0,4
mcp-shell,mcp-shell,Model Context Protocol (MCP),Rust,MCP server enabling AI agents to execute shell commands in a restricted environment.,,https://github.com/shroom-dev/mcp-shell,oss-library,true,true,free,,,,0,1
mcp-server-docker,mcp-server-docker,Model Context Protocol (MCP),Python,Control and monitor Docker containers via MCP.,,https://github.com/silas/mcp-server-docker,oss-library,true,true,free,,,,0,5
mcp-server-github-actions,mcp-server-github-actions,Model Context Protocol (MCP),TypeScript,Trigger and monitor GitHub Action workflows from any MCP client.,,https://github.com/sir-william-t/mcp-server-github-actions,oss-library,true,true,free,,,,0,11
mcp-server-postgres,mcp-server-postgres,Model Context Protocol (MCP),Python,Query and manage PostgreSQL databases through natural language.,,https://github.com/smol-ai/mcp-server-postgres,oss-library,true,true,free,,,,0,6
mcp-server-sentry,mcp-server-sentry,Model Context Protocol (MCP),TypeScript,Inspect and manage Sentry issues directly from AI agent sessions.,,https://github.com/snoop-dev/mcp-server-sentry,oss-library,true,true,free,,,,0,12
mcp-server-slack,mcp-server-slack,Model Context Protocol (MCP),TypeScript,"Read, write, and manage Slack messages and channels via MCP.",,https://github.com/snoop-dev/mcp-server-slack,oss-library,true,true,free,,,,0,13
mcp-server-linear,mcp-server-linear,Model Context Protocol (MCP),TypeScript,"Manage Linear issues, projects, and cycles from your AI assistant.",,https://github.com/soupy-dev/mcp-server-linear,oss-library,true,true,free,,,,0,14
mcp-server-redis,mcp-server-redis,Model Context Protocol (MCP),TypeScript,Real-time Redis data inspection and management via MCP.,,https://github.com/spaces-ai/mcp-server-redis,oss-library,true,true,free,,,,0,15
mcp-server-xstate,mcp-server-xstate,Model Context Protocol (MCP),TypeScript,Visualize and manage XState machines through natural language commands.,,https://github.com/statelyai/mcp-server-xstate,oss-library,true,true,free,,,,0,16
mcp-server-jira,mcp-server-jira,Model Context Protocol (MCP),TypeScript,Interface with Atlassian Jira projects and issues via MCP.,,https://github.com/steve-clark/mcp-server-jira,oss-library,true,true,free,,,,0,17
mcp-server-vercel,mcp-server-vercel,Model Context Protocol (MCP),TypeScript,Monitor and manage Vercel deployments and environment variables.,,https://github.com/steven-tey/mcp-server-vercel,oss-library,true,true,free,,,,0,18
mcp-server-sqlite,mcp-server-sqlite,Model Context Protocol (MCP),TypeScript,Lightweight SQLite database management for AI agents.,,https://github.com/steverichey/mcp-server-sqlite,oss-library,true,true,free,,,,0,19
mcp-server-bing-search,mcp-server-bing-search,Model Context Protocol (MCP),Python,Bing Web Search integration for MCP-capable clients.,,https://github.com/shiseng/mcp-server-bing-search,oss-library,true,true,free,,,,0,7
mcp-server-exa-search,mcp-server-exa-search,Model Context Protocol (MCP),Python,Exa (formerly Metaphor) search integration for structured web discovery.,,https://github.com/shiseng/mcp-server-exa-search,oss-library,true,true,free,,,,0,8
mcp-server-tavily-search,mcp-server-tavily-search,Model Context Protocol (MCP),Python,Tavily search integration for AI-optimized web research.,,https://github.com/shiseng/mcp-server-tavily-search,oss-library,true,true,free,,,,0,9
mcp-server-weather,mcp-server-weather,Model Context Protocol (MCP),TypeScript,Real-time weather data retrieval via MCP.,,https://github.com/steverichey/mcp-server-weather,oss-library,true,true,free,,,,0,20
@modelcontextprotocol/server-filesystem,modelcontextprotocol-server-filesystem,Model Context Protocol (MCP),TypeScript,"Secure, scoped access to the local file system.",,https://github.com/modelcontextprotocol/servers/tree/main/src/filesystem,oss-library,true,true,free,,2024-11-19,2026-07-10,88873,1
mcp-server-git,mcp-server-git,Model Context Protocol (MCP),TypeScript,Tools to interact with local Git repositories.,,https://github.com/modelcontextprotocol/servers/tree/main/src/git,oss-library,true,true,free,,2024-11-19,2026-07-10,88873,2
@modelcontextprotocol/server-fetch,modelcontextprotocol-server-fetch,Model Context Protocol (MCP),TypeScript,Fetch web content and convert to Markdown for LLMs.,,https://github.com/modelcontextprotocol/servers/tree/main/src/fetch,oss-library,true,true,free,,2024-11-19,2026-07-10,88873,3
@modelcontextprotocol/server-memory,modelcontextprotocol-server-memory,Model Context Protocol (MCP),TypeScript,Knowledge graph-based persistent memory system.,,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,oss-library,true,true,free,,2024-11-19,2026-07-10,88873,4
@modelcontextprotocol/server-sequential-thinking,modelcontextprotocol-server-sequential-thinking,Model Context Protocol (MCP),TypeScript,Facilitates complex problem-solving via structured steps.,,https://github.com/modelcontextprotocol/servers/tree/main/src/sequential-thinking,oss-library,true,true,free,,2024-11-19,2026-07-10,88873,5
@modelcontextprotocol/server-time,modelcontextprotocol-server-time,Model Context Protocol (MCP),TypeScript,Time and timezone conversion capabilities.,,https://github.com/modelcontextprotocol/servers/tree/main/src/time,oss-library,true,true,free,,2024-11-19,2026-07-10,88873,6
@stripe/mcp,stripe-mcp,Model Context Protocol (MCP),TypeScript,Official Stripe MCP server for payments and customer management.,,https://github.com/stripe/agent-toolkit,oss-library,true,true,free,,2024-11-11,2026-07-25,1707,7
zereight/mcp-gitlab,zereight-mcp-gitlab,Model Context Protocol (MCP),TypeScript,Feature-rich community GitLab MCP server (80+ tools).,,https://github.com/zereight/mcp-gitlab,oss-library,true,true,free,,,,0,21
ha-mcp,ha-mcp,Model Context Protocol (MCP),Python,Control Home Assistant devices and query states via natural language.,https://github.com/homeassistant-ai/ha-mcp,https://github.com/homeassistant-ai/ha-mcp,hybrid,false,false,freemium,,2025-09-14,2026-07-25,4112,1
mcp-server-trello,mcp-server-trello,Model Context Protocol (MCP),TypeScript,"Manage Trello boards, cards, and lists via MCP.",,https://github.com/delorenj/mcp-server-trello,oss-library,true,true,free,,2025-01-03,2026-07-24,427,8
clickup-mcp,clickup-mcp,Model Context Protocol (MCP),TypeScript,Token-optimized MCP server for deep ClickUp integration.,,https://github.com/cvrt-jh/clickup-mcp,oss-library,true,true,free,,2026-02-02,2026-02-03,3,10
zendesk-mcp-server,zendesk-mcp-server,Model Context Protocol (MCP),Node,Comprehensive ticket and user management for Zendesk.,,https://github.com/mattcoatsworth/zendesk-mcp-server,oss-library,true,true,free,,2025-04-04,2025-04-04,28,1
local-browser-mcp,local-browser-mcp,Model Context Protocol (MCP),TypeScript,MCP server + Chrome extension to automate your browser using your real fingerprint.,,https://github.com/NolanLT/local-browser-mcp,oss-library,true,true,free,,2026-06-17,2026-06-19,4,9
codebase-memory-mcp,codebase-memory-mcp,Model Context Protocol (MCP),C,High-performance codebase knowledge graph for AI agents with sub-ms queries.,,https://github.com/DeusData/codebase-memory-mcp,oss-library,true,true,free,,2026-02-24,2026-07-25,35125,1
LEANN,leann,Memory & Context Management,Various,Ultra-lightweight semantic search backend with massive storage savings,,https://github.com/yichuan-w/LEANN,oss-library,true,true,free,,2025-06-09,2026-07-24,12727,2
OpenViking,openviking,Memory & Context Management,Python,Context database for AI Agents with filesystem management paradigm,,https://github.com/volcengine/OpenViking,oss-library,true,true,free,,2026-01-05,2026-07-25,27202,2
Claude Mem,claude-mem,Memory & Context Management,TypeScript,"Claude Code plugin that captures, compresses, and injects coding session context",,https://github.com/thedotmack/claude-mem,oss-library,true,true,free,,2025-08-31,2026-07-23,88506,1
WUPHF,wuphf,Memory & Context Management,Python,Collaborative AI office that builds and maintains a shared knowledge base,,https://github.com/nex-crm/wuphf,oss-library,true,true,free,,2026-03-25,2026-07-14,1225,7
GBrain,gbrain,Memory & Context Management,Various,Garry's Opinionated OpenClaw/Hermes Agent Brain. Personal knowledge management and retrieval for AI agents.,,https://github.com/garrytan/gbrain,oss-library,true,true,free,,2026-04-05,2026-07-25,27046,1
Engram,engram,Model Context Protocol (MCP),Go,"Persistent memory system for AI coding agents — agent-agnostic with SQLite, MCP server, HTTP API, CLI, and TUI",,https://github.com/Gentleman-Programming/engram,oss-library,true,true,free,,2026-02-16,2026-07-20,5684,1
AgentMemory,agentmemory,Memory & Context Management,TypeScript,Persistent memory for AI coding agents backed by real-world benchmarks,,https://github.com/rohitg00/agentmemory,oss-library,true,true,free,,2026-02-25,2026-07-20,25744,3
SuperMemory,supermemory,Memory & Context Management,TypeScript,"Memory API and app that is fast, scalable — the memory engine for the AI era",,https://github.com/supermemoryai/supermemory,oss-library,true,true,free,,2024-02-27,2026-07-25,28601,2
headroom,headroom,Memory & Context Management,Python/Rust,Context compression layer for AI agents; reduces tokens by 60-95% before reaching the LLM.,https://github.com/chopratejas/headroom,https://github.com/chopratejas/headroom,hybrid,false,false,freemium,,2026-01-07,2026-07-25,62271,1
OneBrain,onebrain,Memory & Context Management,Various,Local second brain system for personal knowledge management.,,https://github.com/fxa3bah/OneBrain,oss-library,true,true,free,,2026-06-13,2026-07-25,35,3
fastcontext,fastcontext,Memory & Context Management,C++/Python,Library for fast context management in LLMs with minimal latency.,https://github.com/microsoft/fastcontext,https://github.com/microsoft/fastcontext,hybrid,false,false,freemium,,,,0,1
FERNme,fernme,Memory & Context Management,Python,"A lightweight memory engine for AI agents using fuzzy graphs, Hebbian updates, and optional LLM gating.",,https://github.com/mirkofr/FERNme,oss-library,true,true,free,,2026-06-18,2026-07-22,26,10
memsearch,memsearch,Memory & Context Management,Python,"A persistent, unified memory layer for all your AI agents (e.g. Claude Code, Codex), backed by Markdown and Milvus.",https://github.com/zilliztech/memsearch,https://github.com/zilliztech/memsearch,hybrid,false,false,freemium,,2026-02-09,2026-07-24,2381,6
recall,recall,Memory & Context Management,Python,Stop wasting tokens and re-explaining your project every session. Recall gives Claude Code durable memory — entirely offline.,,https://github.com/raiyanyahya/recall,oss-library,true,true,free,,2026-06-19,2026-07-24,724,8
EverOS,everos,Memory & Context Management,Python,"One portable memory layer for every AI agent: local-first, Markdown-native, user-owned, and self-evolving across apps, tools, and workflows.",,https://github.com/EverMind-AI/EverOS,oss-library,true,true,free,,2025-10-28,2026-07-24,11508,3
atlas-memory-demo,atlas-memory-demo,Memory & Context Management,Python,"Atlas — Agent Memory on Elasticsearch. Three indices, hybrid recall with a reranker, supersession, decay, and per-user DLS isolation.",,https://github.com/noamschwartz/atlas-memory-demo,oss-library,true,true,free,,2026-05-26,2026-05-31,92,9
SimpleMem,simplemem,Memory & Context Management,Python,SimpleMem: Efficient Lifelong Memory for LLM Agents — Text & Multimodal,,https://github.com/aiming-lab/SimpleMem,oss-library,true,true,free,,2026-01-01,2026-07-24,3659,4
MemMachine,memmachine,Memory & Context Management,Python,"Universal memory layer for AI Agents. It provides scalable, extensible, and interoperable memory storage and retrieval to streamline AI agent state management for next-generation autonomous systems.",,https://github.com/MemMachine/MemMachine,oss-library,true,true,free,,2025-08-15,2026-07-24,3340,5
cognee,cognee,Memory & Context Management,Python,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,https://github.com/topoteretes/cognee,https://github.com/topoteretes/cognee,hybrid,false,false,freemium,,2023-08-16,2026-07-24,29288,1
claude-code-live-memory,claude-code-live-memory,Memory & Context Management,Python,"A cheap, always-on model that learns your repo — so your agent stops re-reading it.",,https://github.com/shofer-dev/claude-code-live-memory,oss-library,true,true,free,,2026-06-25,2026-07-17,6,11
alluvia,alluvia,Memory & Context Management,Python,"Local-first memory for AI-assisted work across tools, with provenance and human judgment. Ingests conversations from Claude Code, Cursor, ChatGPT and other tools into one local store, distills them into atomic ideas, and finds cross-tool bridges.",,https://github.com/dylanp12/alluvia,oss-library,true,true,free,,2026-07-07,2026-07-18,3,12
Pseudolife-MCP,pseudolife-mcp,Model Context Protocol (MCP),Python,"Persistent long-term memory MCP server for Claude Code, Codex, and other MCP clients. Features associative memory bank with 8-band recency tiers, canonical-fact cortex, dream consolidation, typed knowledge graph, and web console.",,https://github.com/Pseudogiant-xr/Pseudolife-MCP,oss-library,true,true,free,,2026-07-16,2026-07-25,4,3
Scribe,scribe,Memory & Context Management,Go,"Cron-driven knowledge base that automatically mines your git history, Claude Code and Codex sessions, and self-sent URLs to write curated wiki articles in plain markdown.",https://getscribe.dev,,hybrid,false,false,freemium,,,,0,1
LightMem,lightmem,Model Context Protocol (MCP),Python,"[ICLR 2026] Lightweight and efficient memory management framework for LLMs and AI agents — storage, retrieval, and update with MCP server support.",,https://github.com/zjunlp/LightMem,oss-library,true,true,free,,2025-06-11,2026-07-16,1032,2
OpenWA,openwa,Productivity & Workflow,TypeScript,Self-hosted WhatsApp API Gateway for integrating messaging into apps,,https://github.com/rmyndharis/OpenWA,oss-library,true,true,free,,2026-02-02,2026-07-24,11864,3
N8N Skills,n8n-skills,Productivity & Workflow,Various,N8n skillset for Claude Code to build flawless n8n workflows,,https://github.com/czlonkowski/n8n-skills,oss-library,true,true,free,,2025-10-20,2026-07-16,5862,3
Kepano Obsidian,kepano-obsidian,Productivity & Workflow,Markdown,Personal Obsidian vault template for bottom-up note-taking,,https://github.com/kepano/kepano-obsidian,oss-library,true,true,free,,2023-09-12,2026-01-09,4192,3
GStack,gstack,Productivity & Workflow,Various,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools as CEO, Designer, Eng Manager",,https://github.com/garrytan/gstack,oss-library,true,true,free,,2026-03-11,2026-07-15,124197,1
Obsidian Skills,obsidian-skills,Productivity & Workflow,Markdown,"Agent skills for Obsidian. Teach your agent to use Markdown, Bases, JSON Canvas, and the CLI.",,https://github.com/kepano/obsidian-skills,oss-library,true,true,free,,2026-01-02,2026-06-08,43229,1
strategy-skills-for-claude,strategy-skills-for-claude,Productivity & Workflow,Markdown,21 McKinsey-style strategy skills for Claude to handle business and strategic reasoning.,,https://github.com/chopratejas/strategy-skills-for-claude,oss-library,true,true,free,,,,0,4
